,Seller_address,Buyer_address,Unique_id_collection
81,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x901f4ba839381b8080917c616796f4fe3e1b84d3,"('Godsunchained', '36695598.0')"
82,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x93811dabfbee9736035025cba91491d7747cfd47,"('Godsunchained', '44703418.0')"
83,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x55cf54616b9b59faa5bbaa33063dfd6cc0647c9a,"('Godsunchained', '92489120.0')"
84,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '14735620.0')"
85,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xb29e0d389420dfff888cc84b95d540e7be4f8292,"('Godsunchained', '37020853.0')"
86,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x69323bea116b59ebc0bbc89b93b997e8b1f0d633,"('Godsunchained', '14881949.0')"
87,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0035f3a16b952a34b85e06ad673792df1b1abeb0,"('Godsunchained', '118536265.0')"
88,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x372c61dc1aeb0a374bfd21116ae016822a363e48,"('Godsunchained', '37555037.0')"
89,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xa2e08e1d550e557d72e2ca6f9e023e36281bfcf0,"('Godsunchained', '22456756.0')"
90,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x8c0dbd55435dc023158037f6e55675616fe1f09a,"('Godsunchained', '8818443.0')"
91,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2d55c157db17267ccda852b749f3244404139ba5,"('Godsunchained', '121693583.0')"
92,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xcbbdce7e539916630936453dfbd1cbcb82d414bf,"('Godsunchained', '12578820.0')"
93,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x68897d280ea3849676e3d4f075430d957648dde8,"('Godsunchained', '44708440.0')"
94,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0ea4008b4fec37fccf885e924972d4a5f246d730,"('Godsunchained', '44873494.0')"
95,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0c7c43d04f8ed28d633a442e93bfac3b0f24eb17,"('Godsunchained', '44873493.0')"
96,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x55cf54616b9b59faa5bbaa33063dfd6cc0647c9a,"('Godsunchained', '15588724.0')"
97,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x584c7c9b0a8fb3f648c3912316a2c5e873cf39bb,"('Godsunchained', '41185663.0')"
98,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x7ee7d61a87c400f5121811f22d3fd300d4f78ef9,"('Godsunchained', '128686632.0')"
99,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xe39cb745e8db0da1be665adb2eab58f4fd600927,"('Godsunchained', '93902581.0')"
100,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xc74518c878fa936f9b35230e060d98df5384772f,"('Godsunchained', '3514059.0')"
101,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '12692670.0')"
102,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xe39cb745e8db0da1be665adb2eab58f4fd600927,"('Godsunchained', '9366492.0')"
103,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '13131956.0')"
104,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xf4d3a31e4378be543cb69ca83679ee3243459c4d,"('Godsunchained', '15209797.0')"
105,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0d2c626e4a23d6754b6a7e0e27f4f97124abf47c,"('Godsunchained', '127745868.0')"
106,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x3bda03a14de4f0e02b18259a0aeb9ce4119ce495,"('Godsunchained', '45056120.0')"
107,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x68897d280ea3849676e3d4f075430d957648dde8,"('Godsunchained', '15862799.0')"
108,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x8b51c1ba09ee33e7649cac62ccb6d0f410f5647a,"('Godsunchained', '41107869.0')"
109,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '121188127.0')"
110,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x215c22ab36103f1faabcd0b8dd4e0e7e642678ef,"('Godsunchained', '40720119.0')"
111,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x8cc90af428910def2e0696e511fa037e8beeccb2,"('Godsunchained', '43604912.0')"
112,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xb6be4de7f37bae20085d830a28982be8ad19052b,"('Godsunchained', '50777053.0')"
113,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xb69b7d6bd5c83eb34b09990491a6bc73def9eaa4,"('Godsunchained', '14586900.0')"
114,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xe3324cbacdc2dac1aeec60e70c831591e43da70c,"('Godsunchained', '56677815.0')"
115,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x822bac563288e76ab0ec2ea05281eba9519d8690,"('Godsunchained', '37013351.0')"
116,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x18057463877204e0bec8082abdc192bd717c311f,"('Godsunchained', '26929097.0')"
117,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0d2c626e4a23d6754b6a7e0e27f4f97124abf47c,"('Godsunchained', '11600567.0')"
118,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x03a494b30a1a6fa005e7ce659c83c31cdcd70860,"('Godsunchained', '37047129.0')"
119,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x7ee7d61a87c400f5121811f22d3fd300d4f78ef9,"('Godsunchained', '122319061.0')"
120,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x724bee89d455f63a4172817f59ff200ab40a5d34,"('Godsunchained', '127000274.0')"
121,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x7047f30b5691a95d596d0cceb1609bfb9f002071,"('Godsunchained', '17755555.0')"
122,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x55d4d7f40a3a527768d7b19f4eaedf73687f89cc,"('Godsunchained', '17947070.0')"
123,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '129822541.0')"
124,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,"('Godsunchained', '96065591.0')"
125,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9ed285aa1dfd8b5f4c61ec1f6b11d007ffa54708,"('Godsunchained', '45866927.0')"
126,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x5c035bb4cb7dacbfee076a5e61aa39a10da2e956,"('Godsunchained', '45001206.0')"
127,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x1f9ce9fe712c857128ee684f3c06ceb0c13a40fe,"('Godsunchained', '14541808.0')"
128,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '16685983.0')"
129,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x23eebb090c430783bf0665478ea6d5793b44a3c3,"('Godsunchained', '6296440.0')"
130,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xc74518c878fa936f9b35230e060d98df5384772f,"('Godsunchained', '16405722.0')"
131,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xbb6b5e1377a36a668995b889b5b57aeb84018b4c,"('Godsunchained', '46004439.0')"
132,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,"('Godsunchained', '23680233.0')"
133,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x70b88cc70ed86da444b145e7ae132a5d1a701dad,"('Godsunchained', '18890109.0')"
134,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x23eebb090c430783bf0665478ea6d5793b44a3c3,"('Godsunchained', '6296438.0')"
135,0xb04239b53806ab31141e6cd47c63fb3480cac908,0x3b614c41e175a674940f94c6de37f4f67d1be3cf,"('Godsunchained', '37865287.0')"
136,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0x9ed285aa1dfd8b5f4c61ec1f6b11d007ffa54708,"('Godsunchained', '39455304.0')"
137,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xd9ab699e5e196139b8a1c8f70ead01b2137fc6a5,"('Godsunchained', '2537057.0')"
138,0x76481caa104b5f6bccb540dae4cefaf1c398ebea,0xad47a28aff92f5845ebda4adb263373f27fccc2e,"('Godsunchained', '13150528.0')"
